run,rerun,camCol,field,obj,filter
1739,40,5,278,704,ugriz
1739,40,5,278,705,ugriz
1739,40,5,278,719,ugriz
1739,40,5,278,720,ugriz
1739,40,5,278,1060,ugriz
1739,40,5,278,106,ugriz
1739,40,5,278,107,ugriz
1739,40,5,278,114,ugriz
1739,40,5,278,262,ugriz
1739,40,5,278,346,ugriz
1739,40,5,278,711,ugriz
1739,40,5,278,1032,ugriz
1739,40,5,278,1055,ugriz
1739,40,5,278,98,ugriz
1739,40,5,278,99,ugriz
1739,40,5,278,101,ugriz
1739,40,5,278,103,ugriz
1739,40,5,278,105,ugriz
1739,40,5,278,111,ugriz
1739,40,5,278,112,ugriz
1739,40,5,278,263,ugriz
1739,40,5,278,264,ugriz
1739,40,5,278,330,ugriz
1739,40,5,278,399,ugriz
1739,40,5,278,401,ugriz
1739,40,5,278,728,ugriz
1739,40,5,278,1070,ugriz
1739,40,5,278,1196,ugriz
1739,40,5,278,102,ugriz
1739,40,5,278,104,ugriz
1739,40,5,278,109,ugriz
1739,40,5,278,113,ugriz
1739,40,5,278,116,ugriz
1739,40,5,278,254,ugriz
1739,40,5,278,268,ugriz
1739,40,5,278,269,ugriz
1739,40,5,278,331,ugriz
1739,40,5,278,332,ugriz
1739,40,5,278,363,ugriz
1739,40,5,278,395,ugriz
1739,40,5,278,396,ugriz
1739,40,5,278,398,ugriz
1739,40,5,278,413,ugriz
1739,40,5,278,683,ugriz
1739,40,5,278,690,ugriz
1739,40,5,278,771,ugriz
1739,40,5,278,776,ugriz
1739,40,5,278,778,ugriz
1739,40,5,278,1026,ugriz
1739,40,5,278,1048,ugriz
